policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
	8090498646	NAT60000002390	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	30	1	-2	3	0	0	1	0-50	14			0	2
	8090498653	NAT60000002394	2	Rented - Private			House	End-Terraced House	Concrete		0-50	GRA1	SLATE	Retired	2010	1	300	50	350	1000	450	25	1	-2	3	0	0	1	0-50	14			0	2
	8090498661	NAT60000002396	2	Owned			Bungalow	Detached Bungalow	Brick		0-50	GRA1	TILE	Self-employed (part-time)	2010	1	300	50	350	1000	450	25	1	-2	3	0	0	1	0-50	14			0	2
	8090498679	NAT60000002398	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	26	1	-2	3	0	0	1	0-50	14			0	2
	8090498687	NAT60000002400	2	Rented - Private			House	End-Terraced House	Concrete		0-50	GRA1	SLATE	Retired	2010	1	300	50	350	1000	450	24	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498695	NAT60000002402	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	28	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498703	RBS60000000901	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	42	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498711	RBS60000000903	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	43	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498729	ULS60000000674	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	31	1	-2	3	0	0	1	0-50	14			0	2
	8090498737	ULS60000000676	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	24	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498745	ULS60000000677	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	25	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498752	ULS60000000678	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	44	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498760	ULS60000000679	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	31	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498778	ULS60000000680	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	39	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498786	NAT60000002404	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	33	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498802	ULS60000000681	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	27	1	-2	3	0	0	1	0-50	14			0	2
	8090498810	NAT60000002405	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	26	1	-2	3	0	0	1	0-50	14	699.00	0.00	0	2
	8090498828	ULS60000000682	2	Rented - Private			House	Semi-Detached House	Stone Construction		0-50	GRA1	SLATE	Employed (Full time)	2010	1	300	50	350	1000	450	36	1	-2	3	0	0	1	0-50	14			0	2
