policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
	8090343925	CHU70000014690	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Not employed due to disability	2000		100	100	200	1000	450	45	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5	2
	8090343933	CHU70000014722	2	Owned		2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	Employed (Full time)	2000		100	100	200	1000	450	37	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	2
	8090343941	CHU70000014638	2	Owned		2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	Employed (Full time)	2000		100	100	200	1000	450	48	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	2
	8090343958	CHU70000014716	2	Owned		2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Full time education (student)	2000		100	100	200	1000	450	47	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	4
	8090343966	CHU70000014730	2	Owned	2		House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Full time education (student)	2000		100	100	200	1000	450	34	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5	2
	8090343974	CHU70000014623	2	Owned		1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	Unemployed	2000		100	100	200	1000	450	35	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	3
	8090343982	CHU70000014741	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	Housewife/Househusband	2000		100	100	200	1000	450	48	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	3
	8090343990	CHU70000014593	2	Owned		1	Bungalow	Mid Terraced Bungalow	Brick		0-50	NOT_LIS	TILE	Retired	2000		100	100	200	1000	450	52	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	1
	8090344006	CHU70000014702	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	Full time education (student)	2000		100	100	200	1000	450	50	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	2
	8090344014	CHU70000014725	2	Owned		1	Bungalow	Mid Terraced Bungalow	Brick		0-25	NOT_LIS	TILE	Not employed due to disability	2000		100	100	200	1000	450	33	3	1	3	0	0	0	0-25	14	699.00	0.00	2-5	1
	8090344022	CHU70000014613	2	Owned	1		Bungalow	Mid Terraced Bungalow	Brick		0-50	NOT_LIS	TILE	Not employed due to disability	2000		100	100	200	1000	450	47	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	1
	8090344030	CHU70000014614	2	Owned		2	House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Retired	2000		100	100	200	1000	450	51	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5	2
	8090344048	CHU70000014654	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Housewife/Househusband	2000		100	100	200	1000	450	42	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5	2
	8090344139	CHU70000014641	2	Owned		1	Bungalow	Mid Terraced Bungalow	Brick		0-50	NOT_LIS	TILE	Not employed due to disability	2000		100	100	200	1000	450	52	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	1
	8090344147	CHU70000014662	2	Owned		2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	Not employed due to disability	2000		100	100	200	1000	450	34	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	2
	8090344170	CHU70000014665	2	Owned		1	Bungalow	Mid Terraced Bungalow	Brick		0-25	NOT_LIS	TILE	Unemployed	2000		100	100	200	1000	450	49	3	1	3	0	0	0	0-25	14	699.00	0.00	2-5	1
	8090344196	CHU70000014663	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	Retired	2000		100	100	200	1000	450	36	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	3
	8090344220	CHU70000014684	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	Retired	2000		100	100	200	1000	450	35	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5	4
	8090344253	CHU70000014596	2	Owned		2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Employed (Full time)	2000		100	100	200	1000	450	38	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	4
	8090344279	CHU70000014687	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	Employed (Full time)	2000		100	100	200	1000	450	51	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5	3
	8090344329	CHU70000014678	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	Self-employed (full time)	2000		100	100	200	1000	450	36	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	2
	8090344394	CHU70000014656	2	Owned		2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Retired	2000		100	100	200	1000	450	49	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5	4
