accepts_policy_number	bound_channel_id	transaction_channel_id
3110001694	10	10
3110001025	10	10
3110001108	10	10
3110002031	5	10
3110001355	10	10
3110001793	10	10
3110002007	10	10
3110001751	10	10
3110001561	10	10
3110001983	10	10
3110001082	10	10
3110002189	10	10
3110001454	10	10
3110001512	10	10
3110001603	10	10
3110001140	10	10
3110001371	10	10
3110001306	10	10
3110002205	10	10
3110001975	5	10
3110001702	10	10
3110001199	10	10
3110001124	10	10
3110001579	10	10
3110001280	10	10
3110001843	5	10
3110002023	5	10
3110000076	10	10
3110001462	5	10
3110002122	10	10
3110002296	10	10
3110001314	10	10
3110001447	10	10
3110001884	10	10
3110001942	10	10
3110001181	5	10
3110001256	10	10
3110000126	10	10
3110001801	10	10
3110000134	10	10
3110001330	10	10
3110001850	10	10
3110002098	10	10
3110001660	10	10
3110001397	10	10
3110001629	10	10
3110002288	10	10
3110001645	10	10
3110001363	10	10
3110001876	10	10
3110002213	10	10
3110002262	10	10
3110001017	10	10
3110001488	10	10
3110001520	10	10
3110000100	10	10
3110001165	10	10
3110002114	10	10
3110001264	10	10
3110000084	10	10
3110001348	10	10
3110001553	10	10
3110001835	10	10
3110001611	10	10
3110002080	10	10
3110001587	10	10
3110002171	10	10
3110002239	10	10
3110001058	10	10
3110001215	10	10
3110001496	5	10
3110001595	10	10
3110000159	10	10
3110001090	10	10
3110001777	10	10
3110001900	10	10
3110002155	5	10
3110001967	5	10
3110001249	10	10
3110001892	10	10
3110001736	10	10
