policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
	8090330179	CHU60000013853	2	Mortgaged	1	1	House	Detached House	Brick		None	NOT_LIS	TILE	Employed (Full time)	1998	1	150	100	250	1000	450	80	1	1	3	0	0	0	None	14	699.00	0.00	0	1
	8090330187	CHU60000013854	2	Owned	2	3	Town House	Mid Terraced Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1899	1	150	100	250	1000	450	77	1	1	3	0	0	0	None	14	699.00	0.00	0	2
	8090330195	CHU60000013855	2	Owned	3	1	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1888	1	150	100	250	1000	450	42	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330203	CHU60000013856	2	Owned	4	0	Town House	Detached Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1979	1	150	100	250	2000	450	75	1	2	3	0	0	0	None	14	699.00	0.00	0	4
	8090330229	CHU60000013858	2	Owned	2	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1873	1	150	100	250	1000	450	39	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330237	CHU60000013859	2	Mortgaged	1	3	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1874		150	100	250	1000	450	74	1	2	3	0	0	0	None	14	699.00	0.00	0	1
	8090330245	CHU60000013860	2	Owned	NO_INS12	2	House	Semi-Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	2000		150	100	250	1000	450	67	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330252	CHU60000013861	2	Owned	1	2	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Full time)	2001	1	150	100	250	1000	450	72	1	2	3	0	0	0	None	14	699.00	0.00	0	4
	8090330278	CHU60000013864	2	Owned	2	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1873	1	150	100	250	1000	450	68	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330286	CHU60000013865	2	Owned	3	2	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1956		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	1
	8090330294	CHU60000013868	2	Mortgaged	4	1	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1990	1	150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	2
	8090330328	CHU60000013869	2	Owned	5+	2	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1991	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330336	CHU60000013870	2	Mortgaged	1	1	Town House	End Terraced Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1992		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	4
	8090330344	CHU60000013871	2	Owned	3	3	House	Mid Terraced House	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1993		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330351	CHU60000013872	2	Mortgaged	4	0	Town House	Mid Terraced Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1983		150	100	250	1000	450	30	1	1	3	0	0	0	None	14	699.00	0.00	0	1
	8090330369	CHU60000013874	2	Owned	1	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Part time)	2005	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330385	CHU60000013875	2	Owned	3	3	Town House	End Terraced Town House	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1982	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	4
	8090330393	CHU60000013876	2	Mortgaged	0	3	Town House	Mid Terraced Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1983		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330401	CHU60000013877	2	Mortgaged	4	0	House	End-Terraced House	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1890		150	100	250	2000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	1
	8090330419	CHU60000013878	2	Mortgaged	2	NO_INS12	Maisonette	Maisonette	Brick		None	NOT_LIS	TILE	Employed (Part time)	1891		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	2
	8090330427	CHU60000013880	2	Mortgaged	2	1	House	Link Detached House	Brick		None	NOT_LIS	TILE	Self-employed (full time)	2010		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330435	CHU60000013882	2	Mortgaged	5+	1	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	TILE	Self-employed (part-time)	2011		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	4
	8090330443	CHU60000013883	2	Mortgaged	NO_INS	2	House	End-Terraced House	Brick		None	NOT_LIS	TILE	Employed (Full time)	2012		150	100	250	1000	450	32	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330468	CHU60000013884	2	Owned	0	2	Maisonette	Maisonette	Brick		None	NOT_LIS	TILE	Employed (Part time)	2013		150	100	250	1000	450	32	1	2	3	0	0	0	None	14	699.00	0.00	0	1
	8090330476	CHU60000013885	2	Mortgaged	3	1	Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	2003		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	2
	8090330484	CHU60000013888	2	Owned	4	0	Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1991		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330492	CHU60000013889	2	Mortgaged	5+	1	Town House	End Terraced Town House	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	1992		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	4
	8090330500	CHU60000013890	2	Mortgaged	NO_INS	2	House	Mid Terraced House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	1993		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330518	CHU60000013891	2	Mortgaged	0	2	Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	1983		150	100	250	1000	450	30	1	1	3	0	0	0	None	14	699.00	0.00	0	1
	8090330534	CHU60000013894	2	Owned	3	1	House	Semi-Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1986		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	2
	8090330542	CHU60000013895	2	Mortgaged	5+	0	Town House	End Terraced Town House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	1982	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	4
	8090330559	CHU60000013896	2	Mortgaged	NO_INS	0	Town House	Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	1983		150	100	250	2000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330567	CHU60000013898	2	Mortgaged	0	2	House	End-Terraced House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1890		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	1
	8090330583	CHU60000013901	2	Mortgaged	5+	1	Maisonette	Maisonette	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	1891	1	150	100	250	2000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	2
	8090330591	CHU60000013902	2	Mortgaged	NO_INS	NO_INS	House	Link Detached House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	2010		150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	3
	8090330609	CHU60000013915	2	Mortgaged	1		Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	2001	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	5
	8090330617	CHU60000013916	2	Mortgaged	2		Maisonette	Maisonette	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	2002	1	150	100	250	1000	450	33	1	1	3	0	0	0	None	14	699.00	0.00	0	1
	8090330625	CHU60000013917	2	Mortgaged	2		Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	2003		150	100	250	1000	450	33	1	2	3	0	0	0	None	14	699.00	0.00	0	2
