policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
	8090427595	CHU70000024227	2	Mortgaged	3		House	Semi-Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Employed (Full time)	1960	0	400	100	500	1000	450	44	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427603	CHU70000024228	2	Owned		1	House	Detached House	Brick		None	NOT_LIS	TILE	Full time education (student)	1971	0	100	100	200	1000	450	43	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427611	CHU70000024229	2	Mortgaged	2	2	House	Link Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Housewife/Househusband	1953	0	250	100	350	1000	450	42	1	2	3	0	0	0	0-25	14	699.00	0.00	1	3
	8090427629	CHU70000024230	2	Owned	4		House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	Independent Means	1950	0	400	100	500	1000	450	41	1	1	3	0	0	0	0-25	14	699.00	0.00	1	1
	8090427637	CHU70000024231	2	Mortgaged		3	House	End-Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Not employed due to disability	1958	0	100	100	200	1000	450	40	1	2	3	0	0	0	0-50	14	699.00	0.00	1	2
	8090427645	CHU70000024232	2	Owned	1	1	Bungalow	Semi-Detached Bungalow	Brick		50+	NOT_LIS	TILE	Retired	1973	0	250	100	350	1000	450	39	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427652	CHU70000024233	2	Mortgaged	2		Bungalow	Detached Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	Self-employed (full time)	1967	0	400	100	500	1000	450	38	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427660	CHU70000024234	2	Owned		4	Bungalow	Terraced Bungalow	Concrete		None	NOT_LIS	CONCRETE	Unemployed	1969	0	100	100	200	1000	450	37	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427678	CHU70000024235	2	Mortgaged	3	3	Dorma Bungalow	Semi-Detached Dorma Bungalow	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	Employed (Full time)	1967	0	250	100	350	1000	450	36	1	2	3	0	0	0	0-25	14	699.00	0.00	1	3
	8090427686	CHU70000024236	2	Owned	1		Dorma Bungalow	Detached Dorma Bungalow	Brick		0-25	NOT_LIS	TILE	Full time education (student)	1979	0	400	100	500	1000	450	35	1	1	3	0	0	0	0-25	14	699.00	0.00	1	1
	8090427694	CHU70000024237	2	Owned	4	4	Town House	Detached Town House	Concrete		50+	NOT_LIS	CONCRETE	Independent Means	1970	0	250	100	350	1000	450	43	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427702	CHU70000024238	2	Mortgaged	3		Town House	Terraced Town House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Not employed due to disability	1950	0	400	100	500	1000	450	43	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427710	CHU70000024239	2	Owned		1	House	Semi-Detached House	Brick		None	NOT_LIS	TILE	Retired	1963	0	100	100	200	1000	450	42	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427728	CHU70000024241	2	Owned	4		House	Link Detached House	Concrete		0-25	NOT_LIS	CONCRETE	Unemployed	1979	0	400	100	500	1000	450	40	1	1	3	0	0	0	0-25	14	699.00	0.00	1	1
	8090427736	CHU70000024242	2	Mortgaged		3	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Employed (Full time)	1977	0	100	100	200	1000	450	39	1	2	3	0	0	0	0-50	14	699.00	0.00	1	2
	8090427744	CHU70000024243	2	Owned	1	1	House	End-Terraced House	Brick		50+	NOT_LIS	TILE	Full time education (student)	1960	0	250	100	350	1000	450	38	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427751	CHU70000024244	2	Mortgaged	2		Bungalow	Semi-Detached Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	Housewife/Househusband	1950	0	400	100	500	1000	450	37	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427769	CHU70000024245	2	Owned		4	Bungalow	Detached Bungalow	Concrete		None	NOT_LIS	CONCRETE	Independent Means	1967	0	100	100	200	1000	450	36	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427777	CHU70000024246	2	Mortgaged	3	3	Bungalow	Terraced Bungalow	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	Not employed due to disability	1962	0	250	100	350	1000	450	35	1	2	3	0	0	0	0-25	14	699.00	0.00	1	3
	8090427785	CHU70000024247	2	Mortgaged		2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	Self-employed (full time)	1953	0	100	100	200	1000	450	43	1	2	3	0	0	0	0-50	14	699.00	0.00	1	2
	8090427793	CHU70000024248	2	Owned	4	4	Town House	Semi-Detached Town House	Concrete		50+	NOT_LIS	CONCRETE	Unemployed	1976	0	250	100	350	1000	450	42	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427801	CHU70000024249	2	Mortgaged	3		Town House	Detached Town House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Employed (Full time)	1973	0	400	100	500	1000	450	42	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427819	CHU70000024250	2	Owned		1	Town House	Terraced Town House	Brick		None	NOT_LIS	TILE	Full time education (student)	1957	0	100	100	200	1000	450	41	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427827	CHU70000024251	2	Mortgaged	2	2	House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	Housewife/Househusband	1953	0	250	100	350	1000	450	40	1	2	3	0	0	0	0-25	14	699.00	0.00	1	3
	8090427835	CHU70000024252	2	Owned	4		House	Detached House	Concrete		0-25	NOT_LIS	CONCRETE	Independent Means	1970	0	400	100	500	1000	450	39	1	1	3	0	0	0	0-25	14	699.00	0.00	1	1
	8090427843	CHU70000024253	2	Mortgaged		3	House	Link Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Not employed due to disability	1953	0	100	100	200	1000	450	38	1	2	3	0	0	0	0-50	14	699.00	0.00	1	2
	8090427850	CHU70000024254	2	Owned	1	1	House	Mid Terraced House	Brick		50+	NOT_LIS	TILE	Retired	1975	0	250	100	350	1000	450	37	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427868	CHU70000024255	2	Mortgaged	2		House	End-Terraced House	Stone Construction		0-50	NOT_LIS	SLATE	Self-employed (full time)	1953	0	400	100	500	1000	450	36	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
	8090427876	CHU70000024256	2	Owned		4	Bungalow	Semi-Detached Bungalow	Concrete		None	NOT_LIS	CONCRETE	Unemployed	1952	0	100	100	200	1000	450	35	1	1	3	0	0	0	None	14	699.00	0.00	1	2
	8090427884	CHU70000024257	2	Owned	1		Bungalow	Terraced Bungalow	Brick		0-25	NOT_LIS	TILE	Full time education (student)	1965	0	400	100	500	1000	450	44	1	1	3	0	0	0	0-25	14	699.00	0.00	1	1
	8090427892	CHU70000024258	2	Mortgaged		2	Dorma Bungalow	Semi-Detached Dorma Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	Housewife/Househusband	1969	0	100	100	200	1000	450	43	1	2	3	0	1	0	0-50	14	699.00	0.00	1	2
	8090427900	CHU70000024259	2	Owned	4	4	Dorma Bungalow	Detached Dorma Bungalow	Concrete		50+	NOT_LIS	CONCRETE	Independent Means	1978	0	250	100	350	1000	450	41	1	1	3	0	0	0	50+	14	699.00	0.00	1	3
	8090427918	CHU70000024260	2	Mortgaged	3		Town House	Semi-Detached Town House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	Not employed due to disability	1969	0	400	100	500	1000	450	41	1	2	3	0	0	0	0-50	14	699.00	0.00	1	1
