policy_number	accepts_policy_number	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding
	8090267264	2	Mortgaged	2	1	Flat	Flat - Ground Floor	Brick		None	NOT_LIS	TILE	EMPF	1971		150	100	250	1000	550	22	1	2	3	0	0	0	None	14	699.00	0.00	0
	8090263321	2	Owned	1	1	House	Mid Terraced House	Concrete		0-50	NOT_LIS	CONCRETE	RETD	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265037	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	SEMPF	2000		100	100	200	1000	550	42	3	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090266514	2	Owned	1	1	House	Detached House	Concrete		0-25	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090263446	2	Owned	3	3	House	Semi-Detached House	Concrete		0-50	NOT_LIS	TILE	HSWF	1998		200	100	300	1000	550	34	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090266290	2	Owned	3	3	Town House	Semi-Detached Town House	Concrete		0-50	NOT_LIS	TILE	HSWF	1992		200	100	300	1000	550	43	3	1	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090263156	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-25	NOT_LIS	SLATE	SEMPF	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090262901	2	Owned	1	1	House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	SEMPF	2000		100	100	200	1000	550	42	1	1	4	0	0	0	0-25	14	699.00	0.00	0
	8090265235	2	Owned	4	4	Bungalow	End Terraced Bungalow	Concrete		0-50	NOT_LIS	SLATE	HSWF	2000		200	100	300	1000	550	34	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090266084	2	Owned	2	2	Town House	Semi-Detached Town House	Concrete		0-50	NOT_LIS	ASPHALT	VOLUN	1988		200	100	300	1000	550	33	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090264741	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	RETD	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090266662	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	2-5
