policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
8110001248	8110001248	PRV60000000085	7	Mortgaged	2	4	House	Detached House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1874	0	150	100	250	1000	550	88	1	2	3	1	0	1	None	14	699.00	0.00	0	1
8110001255	8110001255	PRV60000000086	9	Owned	1	3	House	Semi-Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	2000	0	150	100	250	1000	550	80	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001263	8110001263	PRV60000000087	7	Owned	2	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Full time)	2001	1	150	100	250	1000	550	86	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001271	8110001271	PRV60000000088	9	Owned	3	4	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1873	1	150	100	250	1000	550	82	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001289	8110001289	PRV60000000089	9	Owned	4	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1956	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	1
8110001297	8110001297	PRV60000000090	7	Mortgaged	5+	2	House	Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1990	1	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	2
8110001305	8110001305	PRV60000000091	7	Owned	5+	3	House	Detached House	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1991	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001313	8110001313	PRV60000000092	7	Mortgaged	2	2	House	Detached House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1992	0	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001321	8110001321	PRV60000000093	7	Owned	4	4	House	Mid Terraced House	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1993	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001339	8110001339	PRV60000000094	7	Mortgaged	5+	1	House	Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1983	0	150	100	250	1000	550	44	1	1	3	1	0	1	None	14	699.00	0.00	0	1
8110001347	8110001347	PRV60000000095	7	Owned	2	4	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Part time)	2005	1	150	100	250	1000	550	47	1	1	3	1	1	1	None	14	699.00	0.00	0	3
8110001354	8110001354	PRV60000000096	7	Owned	4	4	House	Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1982	1	150	100	250	1000	550	47	1	1	3	1	1	1	None	14	699.00	0.00	0	4
8110001362	8110001362	PRV60000000097	7	Mortgaged	1	4	House	Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1983	0	150	100	250	1000	550	47	3	1	4	1	0	1	None	14	699.00	0.00	0	5
8110001370	8110001370	PRV60000000098	7	Mortgaged	5+	1	House	End-Terraced House	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1890	0	150	100	250	2000	550	47	3	2	4	1	0	1	None	14	699.00	0.00	0	1
8110001388	8110001388	PRV60000000099	7	Mortgaged	3	1	Maisonette	Maisonette	Brick		None	NOT_LIS	TILE	Employed (Part time)	1891	0	150	100	250	1000	550	47	3	2	4	1	0	1	None	14	699.00	0.00	0	2
8110001396	8110001396	PRV60000000100	7	Mortgaged		2	House	Link Detached House	Brick		None	NOT_LIS	TILE	Self-employed (full time)	2010	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001404	8110001404	PRV60000000101	7	Mortgaged		2	House	Detached House	Brick		None	NOT_LIS	TILE	Self-employed (part-time)	2011	0	150	100	250	1000	550	46	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001412	8110001412	PRV60000000102	7	Mortgaged		3	House	End-Terraced House	Brick		None	NOT_LIS	TILE	Employed (Full time)	2012	0	150	100	250	1000	550	46	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001420	8110001420	PRV60000000103	7	Owned		3	Maisonette	Maisonette	Brick		None	NOT_LIS	TILE	Employed (Part time)	2013	0	150	100	250	1000	550	46	1	2	3	1	0	1	None	14	699.00	0.00	0	1
8110001438	8110001438	PRV60000000104	7	Mortgaged		2	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	2003	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	2
8110001446	8110001446	PRV60000000105	7	Owned		1	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1991	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001453	8110001453	PRV60000000106	7	Mortgaged		2	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	1992	0	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001461	8110001461	PRV60000000107	7	Mortgaged		3	House	Mid Terraced House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	1993	0	150	100	250	1000	550	47	3	1	4	1	0	1	None	14	699.00	0.00	0	5
8110001479	8110001479	PRV60000000108	7	Mortgaged		3	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	1983	0	150	100	250	1000	550	44	3	1	4	1	0	1	None	14	699.00	0.00	0	1
8110001487	8110001487	PRV60000000109	7	Owned		2	House	Semi-Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1986	0	150	100	250	1000	550	47	3	2	4	1	0	1	None	14	699.00	0.00	0	2
8110001495	8110001495	PRV60000000111	7	Mortgaged	5+	1	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	1982	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	4
8110001503	8110001503	PRV60000000112	7	Mortgaged	1	1	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	1983	0	150	100	250	2000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001511	8110001511	PRV60000000113	7	Mortgaged	1	3	House	End-Terraced House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	1890	0	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	1
8110001529	8110001529	PRV60000000114	7	Mortgaged	5+	2	Maisonette	Maisonette	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	1891	1	150	100	250	2000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	2
8110001537	8110001537	PRV60000000115	7	Mortgaged	1	1	House	Link Detached House	Stone Construction		None	NOT_LIS	TILE	Employed (Part time)	2010	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001545	8110001545	PRV60000000116	7	Owned	1	3	House	Detached House	Stone Construction		None	NOT_LIS	TILE	Self-employed (full time)	1917	1	150	100	250	1000	550	47	3	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001552	8110001552	PRV60000000128	7	Mortgaged	2	2	House	Detached House	Brick		None	NOT_LIS	TILE	Employed (Full time)	1998	1	150	100	250	1000	550	94	3	1	4	1	0	1	None	14	699.00	0.00	0	1
8110001560	8110001560	PRV60000000129	7	Owned	3	4	Town House	Mid Terraced Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1899	0	150	100	250	1000	550	91	3	1	4	1	0	1	None	14	699.00	0.00	0	2
8110001578	8110001578	PRV60000000130	7	Owned	4	2	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1888	1	150	100	250	1000	550	56	1	1	4	1	0	1	None	14	699.00	0.00	0	3
8110001586	8110001586	PRV60000000132	7	Owned	5+	1	Town House	Detached Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1979	1	150	100	250	2000	550	89	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001594	8110001594	PRV60000000133	7	Owned	3	4	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1873	1	150	100	250	1000	550	53	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001602	8110001602	PRV60000000134	7	Mortgaged	2	4	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1874	0	150	100	250	1000	550	88	1	2	3	1	0	1	None	14	699.00	0.00	0	1
8110001610	8110001610	PRV60000000135	7	Owned	1	3	House	Semi-Detached House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	2000	0	150	100	250	1000	550	80	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001628	8110001628	PRV60000000137	7	Owned	2	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Full time)	2001	1	150	100	250	1000	550	86	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001636	8110001636	PRV60000000138	7	Owned	3	4	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1873	1	150	100	250	1000	550	82	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001644	8110001644	PRV60000000139	7	Owned	4	3	Maisonette	Maisonette	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1956	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	1
8110001651	8110001651	PRV60000000140	7	Mortgaged	5+	2	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Self-employed (part-time)	1990	1	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	2
8110001669	8110001669	PRV60000000141	7	Owned	5+	3	Town House	Semi-Detached Town House	Brick		None	NOT_LIS	SLATE	Employed (Full time)	1991	1	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	3
8110001677	8110001677	PRV60000000142	7	Mortgaged	2	2	Town House	End Terraced Town House	Brick		None	NOT_LIS	SLATE	Employed (Part time)	1992	0	150	100	250	1000	550	47	1	2	3	1	0	1	None	14	699.00	0.00	0	4
8110001685	8110001685	PRV60000000143	7	Owned	4	4	House	Mid Terraced House	Brick		None	NOT_LIS	SLATE	Self-employed (full time)	1993	0	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001693	8110001693	PRV60000000144	7	Mortgaged	2		Town House	Semi-Detached Town House	Stone Construction		None	NOT_LIS	TILE	Self-employed (part-time)	2001	1	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	5
8110001701	8110001701	PRV60000000145	7	Mortgaged	3		Maisonette	Maisonette	Stone Construction		None	NOT_LIS	TILE	Employed (Full time)	2002	1	150	100	250	1000	550	47	1	1	3	1	0	1	None	14	699.00	0.00	0	1
