policy_number	accepts_policy_number	quote_persist_reference	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding	no_of_bedrooms
	8090314132	PRV70000056997	2	Mortgaged	2	2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-25	GRA2	SLATE	Housewife/Househusband	1971		250	100	350	1000	550	36	1	2	3	0	0	0	0-25	14	699.00	0.00	0	3
8090314132	8090314132	PRV70000056997	6	Mortgaged		2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-25	GRA2	SLATE	Housewife/Househusband	1971		250	100	350	1000	550	36	1	2	3	0	0	1	0-25	14	699.00	0.00	0	3
	8090315329	PRV70000057148	2	Mortgaged	2	2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-25	GRA2	SLATE	Self-employed (full time)	1980		250	100	350	1000	550	34	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5	3
	8090313639	PRV70000056947	2	Owned	4	4	Town House	Semi-Detached Town House	Concrete		50+	PRE_ORD	CONCRETE	Unemployed	1952		250	100	350	1000	550	42	1	1	3	0	0	0	50+	14	699.00	0.00	0	4
	8090315816	PRV70000057221	2	Owned	1		Bungalow	Terraced Bungalow	Brick		0-25	NOT_LIS	TILE	Full time education (student)	1957		400	100	500	1000	550	43	1	1	4	0	0	0	0-25	14	699.00	0.00	2-5	2
	8090315196	PRV70000057132	2	Owned	1		Bungalow	Semi-Detached Bungalow	Brick		0-25	NOT_LIS	TILE	Retired	1950		400	100	500	2000	550	39	1	1	3	0	0	0	0-25	14	699.00	0.00	2-5	2
8090314256	8090314256	PRV70000057013	6	Owned		1	Town House	Detached Town House	Brick		50+	NOT_LIS	TILE	Full time education (student)	1979		250	100	350	1000	550	43	1	1	3	0	0	1	50+	14	699.00	0.00	0	2
	8090314256	PRV70000057013	2	Owned	1	1	Town House	Detached Town House	Brick		50+	NOT_LIS	TILE	Full time education (student)	1979		250	100	350	1000	550	43	1	1	3	0	0	0	50+	14	699.00	0.00	0	2
	8090313464	PRV70000056929	2	Mortgaged	3	3	House	End-Terraced House	Timber Frame with Brick Walls		0-50	GRA1	ASPHALT	Not employed due to disability	1971		100	100	200	1000	550	40	1	2	3	0	0	0	0-50	14	699.00	0.00	0	1
	8090315618	PRV70000057199	2	Mortgaged	3		Town House	Terraced Town House	Timber Frame with Brick Walls		0-50	GRA1	ASPHALT	Not employed due to disability	1969		400	100	500	1000	550	43	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5	1
	8090314017	PRV70000056981	2	Mortgaged	2	2	Bungalow	Detached Bungalow	Stone Construction		0-50	GRA2	SLATE	Housewife/Househusband	1961		100	100	200	1000	550	40	1	2	3	0	0	0	0-50	14	699.00	0.00	0	3
	8090313480	PRV70000056931	2	Mortgaged	2	2	Bungalow	Detached Bungalow	Stone Construction		0-50	GRA2	SLATE	Self-employed (full time)	1953		400	100	500	1000	550	38	1	2	3	0	0	0	0-50	14	699.00	0.00	0	3
	8090315279	PRV70000057142	2	Mortgaged	3	3	House	Mid Terraced House	Timber Frame with Brick Walls		0-25	GRA1	ASPHALT	Employed (Full time)	1974		250	100	350	1000	550	39	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5	1
	8090313498	PRV70000056932	2	Owned	4	4	Bungalow	Terraced Bungalow	Concrete		None	PRE_ORD	CONCRETE	Unemployed	1956		100	100	200	1000	550	37	1	1	3	0	0	0	None	14	699.00	0.00	0	4
	8090313621	PRV70000056946	2	Mortgaged	2	2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-50	GRA2	SLATE	Self-employed (full time)	1954		100	100	200	1000	550	43	1	2	3	0	0	0	0-50	14	699.00	0.00	0	3
